Accuracy,Precision,Recall,F1,ROC-AUC,Disease
0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9577922077922079,Heart Disease
0.815,0.8058252427184466,0.83,0.8177339901477833,0.8917999999999999,Diabetes
0.803680981595092,0.8181818181818182,0.7777777777777778,0.7974683544303798,0.898072869617585,Liver Disease
